,unemployment,gdp,inflation,interest_rate
2009-07-01,9.5,14448.882,214.726,0.16
2009-10-01,10.0,14651.249,216.509,0.12
2010-01-01,9.8,14764.61,217.488,0.11
2010-04-01,9.9,14980.193,217.403,0.2
2010-07-01,9.4,15141.607,217.605,0.18
2010-10-01,9.4,15309.474,219.035,0.19
2011-01-01,9.1,15351.448,221.187,0.17
2011-04-01,9.1,15557.539,224.093,0.1
2011-07-01,9.0,15647.68,225.395,0.07
2011-10-01,8.8,15842.259,226.75,0.07
2012-01-01,8.3,16068.805,227.842,0.08
2012-04-01,8.2,16207.115,229.187,0.14
2012-07-01,8.2,16319.541,228.59,0.16
2012-10-01,7.8,16420.419,231.638,0.16
2013-01-01,8.0,16648.189,231.679,0.14
2013-04-01,7.6,16728.687,231.797,0.15
2013-07-01,7.3,16953.838,232.9,0.09
2013-10-01,7.2,17192.019,233.669,0.09
2014-01-01,6.6,17197.738,235.288,0.07
2014-04-01,6.2,17518.508,236.468,0.09
2014-07-01,6.2,17804.228,237.498,0.09
2014-10-01,5.7,17912.079,237.43,0.09
2015-01-01,5.7,18063.529,234.747,0.11
2015-04-01,5.4,18279.784,236.222,0.12
2015-07-01,5.2,18401.626,238.034,0.13
2015-10-01,5.0,18435.137,237.733,0.12
2016-01-01,4.8,18525.933,237.652,0.34
2016-04-01,5.1,18711.702,238.992,0.37
2016-07-01,4.8,18892.639,240.101,0.39
2016-10-01,4.9,19089.379,241.741,0.4
2017-01-01,4.7,19280.084,243.618,0.65
2017-04-01,4.4,19438.643,244.193,0.9
2017-07-01,4.3,19692.595,244.243,1.15
2017-10-01,4.2,20037.088,246.626,1.15
2018-01-01,4.0,20328.553,248.859,1.41
2018-04-01,4.0,20580.912,250.227,1.69
2018-07-01,3.8,20798.73,251.214,1.91
2018-10-01,3.8,20917.867,252.772,2.19
2019-01-01,4.0,21111.6,252.561,2.4
2019-04-01,3.7,21397.938,255.233,2.42
2019-07-01,3.7,21717.171,255.802,2.4
2019-10-01,3.6,21933.217,257.155,1.83
2020-01-01,3.6,21751.238,259.127,1.55
2020-04-01,14.8,19958.291,256.032,0.05
2020-07-01,10.2,21704.437,258.352,0.09
2020-10-01,6.9,22087.16,260.319,0.09
2021-01-01,6.4,22680.693,262.687,0.09
2021-04-01,6.1,23425.91,266.614,0.07
2021-07-01,5.4,23982.379,271.903,0.1
2021-10-01,4.5,24813.6,276.55,0.08
2022-01-01,4.0,25250.347,282.543,0.08
2022-04-01,3.7,25861.292,288.561,0.33
2022-07-01,3.5,26336.304,294.913,1.68
2022-10-01,3.6,26770.514,298.007,3.08
2023-01-01,3.5,27216.445,300.42,4.33
2023-04-01,3.4,27530.055,302.845,4.83
2023-07-01,3.5,28074.846,304.609,5.12
2023-10-01,3.9,28424.722,307.696,5.33
2024-01-01,3.7,28708.161,309.698,5.33
2024-04-01,3.9,29147.044,313.023,5.33
2024-07-01,4.2,29511.664,313.569,5.33
2024-10-01,4.1,29825.182,315.631,4.83
2025-01-01,4.0,30042.113,318.961,4.33
2025-04-01,4.2,30485.729,320.302,4.33
2025-07-01,4.3,31098.027,322.169,4.33
