date,usa,uk,india,japan,germany
2016-12-31,,,0.006844950712759008,,
2017-01-01,0.1309038746887799,0.069232711707844,0.00472349005893981,0.4586599965391499,0.2880331320478546
2017-03-31,,,0.0026994373208559246,,
2017-04-01,0.070271838644047,0.13807674882871512,0.0025742973993122345,0.5727207153848081,0.5323481421302363
2017-06-30,,,0.0025742973993122345,,
2017-07-01,0.04189648762182429,0.14428329615805216,0.0030577933120358248,0.43701255680691564,0.5389665910708697
2017-09-30,,,0.0030577933120358248,,
2017-10-01,0.02267603177266651,0.055586263521644266,0.0107714039611439,0.6326365789935422,0.40694064477346464
2017-12-31,,,0.0107714039611439,,
2018-01-01,0.04751977315497169,0.2003004632260821,0.016304369887543593,0.81449598856492,0.9431516684431452
2018-03-31,,,0.00865650393169718,,
2018-04-01,0.0867294176847676,0.10879569042989343,0.01705305717437137,0.5428495701346074,0.5930362144035145
2018-06-30,,,0.01705305717437137,,
2018-07-01,0.06341337779885411,0.1612733147833609,0.03142390122333396,0.818219475023617,0.9642493971352102
2018-09-30,,,0.03142390122333396,,
2018-10-01,0.12248739763879453,0.14451925661186313,0.015195069751828376,0.6866288353383251,0.7718099249139005
2018-12-31,,,0.015195069751828376,,
2019-01-01,0.028962290231692885,0.2544065520655789,0.04721507221271369,0.5831592110364198,0.5756347868813299
2019-03-31,,,0.8518187761807926,,
2019-04-01,0.01868032167477009,0.13879236059132566,0.9831423379676608,0.6480760343718085,0.834335867948098
2019-06-30,,,0.9831423379676608,,
2019-07-01,0.007918702250059322,0.21966573918658075,0.8858716248285359,0.65197455071753,0.6589415527301837
2019-09-30,,,0.8858716248285359,,
2019-10-01,0.03079767108352566,0.37921741000797254,0.9800597657622611,0.9599962649493112,0.8793131669206954
2019-12-31,,,0.9800597657622611,,
2020-01-01,0.643946430567788,0.943868661293371,0.8678903629149343,0.616450671929107,0.9955315678724412
2020-03-31,,,0.31185214491084406,,
2020-04-01,0.99998071332489,0.999999993215434,0.8998763857300011,0.9986702941612352,0.9999999812498318
2020-06-30,,,0.8998763857300011,,
2020-07-01,4.450769856521283e-09,9.033452380430749e-08,0.06468572710804857,0.012563579365462544,2.577341396083079e-08
2020-09-30,,,0.06468572710804857,,
2020-10-01,0.006058763545600163,0.27956029418196116,0.1429268181953664,0.09147064204248821,0.11200078805963386
2020-12-31,,,0.1429268181953664,,
2021-01-01,0.007807889828421173,0.3337674918502243,0.1285778357800121,0.17232906142757287,0.9135077312089449
2021-03-31,,,0.9830875179687028,,
2021-04-01,0.013947064880432286,0.00024263403589499732,0.9991692052965931,0.19572680137357248,0.05739074938596046
2021-06-30,,,0.9991692052965931,,
2021-07-01,0.08804543669499315,0.013336934927897883,0.9844861765995506,0.34957672123671296,0.943230470337351
2021-09-30,,,0.9844861765995506,,
2021-10-01,0.03795557334576192,0.01249823854898118,0.9908547473194921,0.13299813377220146,0.9282671342780284
2021-12-31,,,0.9908547473194921,,
2022-01-01,0.7936853231383719,0.018142534696216538,0.993251767274023,0.3421496237573636,0.9325293941293166
2022-03-31,,,0.9999446243609147,,
2022-04-01,0.7198380908712461,0.010967592693056801,0.9999939018489378,0.1307039677901581,0.9950021090798338
2022-06-30,,,0.9999939018489378,,
2022-07-01,0.2051150566926352,0.04861714775581471,0.9999540536147494,0.33369202025097994,0.9944363570422707
2022-09-30,,,0.9999540536147494,,
2022-10-01,0.09954011495854836,0.014411999991532361,0.9998810193164025,0.17298458026834757,0.9990951265904044
2022-12-31,,,0.9998810193164025,,
2023-01-01,0.036673064096219836,0.13705076994513984,0.999832252029602,0.12012673425148583,0.9987920711875522
2023-03-31,,,0.9999939593185553,,
2023-04-01,0.018226775408009998,0.18487414656988665,0.9999959968603029,0.18498272403967386,0.9883825790052401
2023-06-30,,,0.9999959968603029,,
2023-07-01,0.006894496709499732,0.5697687689203389,0.999997186070185,0.3848909707651156,0.9716435959678245
2023-09-30,,,0.999997186070185,,
2023-10-01,0.013823107108294807,0.8334234612174031,0.999987266295789,0.09151190982525027,0.9270752237927933
2023-12-31,,,0.999987266295789,,
2024-01-01,0.04026397940702607,0.14510615513768943,0.9999763174964278,0.23073700738089456,0.8011073036563494
2024-03-31,,,0.9999700475523093,,
2024-04-01,0.01223932895798677,0.26237119318291785,0.9999881836603012,0.10058079289217708,0.8392815666188147
2024-07-01,0.009119200747685113,0.24680245522411878,0.9999472141972533,0.08397097239188225,0.7050743642818565
2024-10-01,0.03959511563447299,0.22858884264089827,0.999965883394982,0.0989904001070017,0.7500386089706987
